Need,Count
Electric Service Payment Assistance,5756
Rent Payment Assistance,5308
Food Pantries,3880
Low Income/Subsidized Private Rental Housing,2543
Adult State/Local Health Insurance Programs,1339
Low Cost Home Rental Listings,998
Homeless Shelter,965
Online Tax Preparation/E-Filing Sites,954
VITA Program Sites,930
Community Clinics,905
Prescription Expense Assistance,902
Child Care Expense Assistance,841
Food Stamps/SNAP Applications,807
General Dentistry,798
Medical Appointments Transportation,749
General Legal Aid,672
Referral to Physicians Accepting Medicaid,576
Holiday Gifts/Toys,572
Directory Assistance,565
Central Intake/Assessment for Mental Health Services,478
Transitional Housing/Shelter,456
In Home Attendants for People With Disabilities,432
Bus Fare,403
311 Services,397
Tenant Rights Information/Counseling,381
Social Security Numbers,371
Housing Authorities,370
Early Head Start,366
Cell Phones,360
Medicaid Applications,351
In Person Assister Programs,316
Rental Deposit Assistance,302
Child Passenger Safety Seats,285
Central Intake/Assessment for Drug Use Disorders,283
Free School Supplies,276
Medical Care Expense Assistance,274
Gas Money,270
Child Care Centers,253
Water Service Payment Assistance,250
Social Security Disability Insurance,231
Gas Service Payment Assistance,226
Home Maintenance and Minor Repair Services,225
Glasses/Contact Lenses,202
General Clothing Provision,200
Diapers,196
Thanksgiving Baskets,186
Discounted Utility Services,183
Section 8 Housing Choice Vouchers,175
Child Care Provider Referrals,167
WIC,166
Birth Certificates,160
Adult Protective Intervention/Investigation,157
Child Support Assistance/Enforcement,151
Motel Bill Payment Assistance,150
Neighborhood Multipurpose Centers,149
State Unemployment Insurance,146
Fans,144
Homelessness  Advocacy Groups,144
Head Start,141
Mortgage Payment Assistance,141
Lawyer Referral Services,140
Electric Service Providers,139
Furniture,133
General Acute Care Hospitals,133
Home Delivered Meals,131
General Benefits Assistance,129
Health Insurance Marketplaces,123
Domestic Violence Shelters,122
Driver Licenses,122
Identification Card Fee Payment Assistance,122
Homeless Shelter * Men,121
Food Vouchers,120
Adolescent/Adult Immunizations,116
Community Mental Health Agencies,116
General Paratransit/Community Ride Programs,116
Birth Certificate Fee Payment Assistance,115
Homeless Families,115
Childhood Immunizations,112
Weatherization Programs,112
At Risk/Homeless Housing Related Assistance Programs,110
Individual Counseling,110
Landlord/Tenant Dispute Resolution,109
Assisted Living Facilities,107
Certificates/Forms Assistance,105
Public Housing,105
Job Information,104
Legal Counseling,104
Wireless Service Providers,103
Soup Kitchens,101
Thrift Shops,101
Disability Related Transportation,100
Comprehensive Job Assistance Centers,99
General Counseling Services,98
Home Rehabilitation Services,95
Residential Drug Use Disorder Treatment Facilities,93
Senior Ride Programs,93
General Federal Income Tax Information,92
Central Intake/Assessment for Alcohol Use Disorder,91
Divorce Assistance,91
Household Goods Vouchers,91
Voter Registration Offices,91
Prescription Drug Patient Assistance Programs,90
Animal Control,88
Trash/Garbage Pickup,88
Personal Finances/Tax Assistance Volunteer Opportunities,87
Utility Disconnection Protection,86
Benefits Screening,84
Polling Places,83
Long Term Case/Care Management,81
Travel Directions/Trip Planning,81
Pregnancy Testing,79
Dentures,78
211 Lead Agencies,77
General Medical Equipment Provision,77
Children's Protective Services,76
Area Agencies on Aging,75
Thanksgiving Meals,75
Home Delivered Meals * Homebound,73
Job Search/Placement,72
School Districts,71
English as a Second Language,70
Specialized Information and Referral,69
Clothing Vouchers,66
GED/High School Equivalency Test Instruction,66
Medicare Beneficiaries,64
Post Offices,64
Evacuation Transportation,63
Child Custody/Visitation Assistance,62
Inpatient Drug Detoxification,62
Medicare Information/Counseling,62
Inpatient Drug Use Disorder Treatment Facilities,61
Medicaid Recipients,61
Medicare Savings Programs,61
Pest Control Services,60
Utility Deposit Assistance,59
County Correctional Facilities,58
In Home Attendants for People  * Health Issues,58
Municipal Police,57
Burial/Cremation Expense Assistance,56
General Physical Examinations,55
Extended Child Care,54
Supported Living Services for Adults With Disabilities,54
Work Clothing,54
Prenatal Care,53
Disabilities Issues,52
Rooming/Boarding Houses,52
Family Counseling,51
Baby Clothing,50
Identification Cards,50
Vocational Rehabilitation,50
Advocacy,49
Automobile Payment Assistance,49
Mental Health Hotlines,49
Election Information,48
General Assessment for Substance Use Disorders,48
Job Search Resource Centers,48
Parenting Skills Classes,48
Special Needs Registries,48
Vision Screening,48
Incontinence Supplies,47
Individual Taxpayer Identification Numbers,47
Preschools,47
Psychiatric Mobile Response Teams,47
Residential Alcohol Use Disorder Treatment Facilities,47
Summer Food Service Programs,47
Telephone Service Payment Assistance,47
Transitional Case/Care Management,47
Bathroom Modification Services,46
Children's Clothing,46
General Health Insurance Information/Counseling,46
Referral to Dental Practitioners Accepting Medicaid,46
Consulates/Foreign Government Representatives,45
Domestic Violence Hotlines,45
Formula/Baby Food,45
Medical Records,45
Well Animal Checkups,45
Wheelchair Donation Programs,45
Large Item Trash/Garbage Pickup,44
Alcohol Use Disorder Support Groups,43
Navigator Programs,43
Personal Care,43
Specialized Information and Re * Disabilities Issues,43
Motor Vehicle Registration,42
Contraception,41
